device,dataset_kind,db_path,db_size_bytes,has_way_tile_table,probe_id,stratum,region,lat,lon,variant,distance_mode,avg_ms,p50_ms,min_ms,max_ms,generated_at_utc
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v4,polycontainment,1.14,1.12,1.1,1.23,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v4,polyline,10.4,10.35,10.24,10.8,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v1,bbox,43.31,43.02,42.72,44.21,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v1,hybrid,46.06,45.59,45.53,46.84,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v1,polycontainment,1.42,1.31,1.28,1.87,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v1,polyline,47.7,47.32,47.05,49.4,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v2,bbox,3.7,3.68,3.59,3.91,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v2,hybrid,6.02,6.04,5.91,6.08,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v2,polycontainment,1.32,1.3,1.29,1.36,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v2,polyline,8.18,8.19,8.13,8.22,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v3,bbox,1.98,1.92,1.9,2.17,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v3,hybrid,4.32,4.32,4.27,4.39,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v3,polycontainment,1.3,1.28,1.27,1.36,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v3,polyline,6.51,6.5,6.47,6.55,2026-05-02T10:57:56Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,v4,bbox,5.55,5.46,5.4,5.95,2026-05-02T10:57:56Z
